Unnamed: 0;Seller;Address;Date_Item;Current_Price;Last_Price;Item_Link
;PVZ i tochka.;р-н Дёмский;16.7.2025;259 200;259 200;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_ozon_pod_klyuch_7516856352?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Октябрьский;16.7.2025;900 000;900 000;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_7505745710?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Electric winch, pro top;р-н Советский;16.7.2025;90 000;90 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_yandeks_market_na_podderzhke_7248060386?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Анастасия;р-н Дёмский;16.7.2025;100 000;100 000;http://avito.ru/ufa/gotoviy_biznes/prodam_gotovyy_biznes_punkt_vydachi_yandeks_market_7452405520?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Озон;р-н Дёмский;16.7.2025;150 000;150 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_ozon_7519139587?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Александр;р-н Орджоникидзевский;16.7.2025;250 000;250 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_ozon_7331127030?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Ленинский;16.7.2025;200 000;200 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_wildberries_7318434202?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Людмила;р-н Ленинский;16.7.2025;700 000;700 000;http://avito.ru/ufa/gotoviy_biznes/sdek_7464532993?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Калининский;16.7.2025;600 000;600 000;http://avito.ru/ufa/gotoviy_biznes/gotovyy_biznes_pvz_sdek_7543328548?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Александр;р-н Кировский;16.7.2025;300 000;300 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_ozon_7427336182?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Советский;16.7.2025;100 000;100 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_yandeks_market_7504438638?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Галина Нефёдова;р-н Кировский;16.7.2025;350 000;350 000;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_valdberriz_7542442680?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;ИП;р-н Кировский;16.7.2025;520 000;520 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_ozon_4653890810?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Кировский;16.7.2025;269 000;269 000;http://avito.ru/ufa/gotoviy_biznes/pvz_ozon_7406020611?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Кировский;16.7.2025;1 300 000;1 300 000;http://avito.ru/ufa/gotoviy_biznes/prodam_pvz_wildberries_7430311912?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;BIZ-EXIT;р-н Кировский;16.7.2025;2 380 000;2 380 000;http://avito.ru/ufa/gotoviy_biznes/gotovyy_biznes_pvz_wildberries_7519730493?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;"Производитель Светодидного Освещения ООО ""ПИК""";р-н Октябрьский;16.7.2025;900 000;900 000;http://avito.ru/ufa/gotoviy_biznes/prodaetsya_pvz_vayldberriz_4450578584?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Ринат;р-н Калининский;16.7.2025;2 700 000;2 700 000;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_gotovyy_biznes_7489387178?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Эмин Мигранов;р-н Кировский;16.7.2025;2 350 000;2 350 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_wildberries_7456211459?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
